NmKGE_cmd,Log(CMD),Wet Threshold,Dry Threshold
301.5994089,2.479430486,2.535581621,2.847262721
299.6562333,2.476623316,2.535581621,2.847262721
292.5062411,2.466135137,2.535581621,2.847262721
272.8161975,2.435870151,2.535581621,2.847262721
271.8403825,2.434313973,2.535581621,2.847262721
271.6932107,2.434078786,2.535581621,2.847262721
272.051273,2.434650762,2.535581621,2.847262721
264.0819587,2.421738732,2.535581621,2.847262721
261.595174,2.417629728,2.535581621,2.847262721
262.8788118,2.419755583,2.535581621,2.847262721
263.9386123,2.421502929,2.535581621,2.847262721
264.26605,2.422041373,2.535581621,2.847262721
264.4510542,2.422345303,2.535581621,2.847262721
264.5573222,2.422519786,2.535581621,2.847262721
265.0917498,2.423396212,2.535581621,2.847262721
263.5948486,2.420936919,2.535581621,2.847262721
264.0687762,2.421717053,2.535581621,2.847262721
264.0776571,2.421731658,2.535581621,2.847262721
264.033526,2.421659075,2.535581621,2.847262721
264.6314587,2.422641471,2.535581621,2.847262721
262.1206711,2.418501271,2.535581621,2.847262721
263.3788796,2.420580946,2.535581621,2.847262721
263.7504009,2.421193128,2.535581621,2.847262721
261.1614738,2.416909111,2.535581621,2.847262721
258.9306971,2.413183541,2.535581621,2.847262721
254.3084515,2.405360793,2.535581621,2.847262721
254.0778148,2.404966746,2.535581621,2.847262721
255.1100297,2.406727533,2.535581621,2.847262721
253.7561112,2.40441651,2.535581621,2.847262721
254.1750163,2.40513286,2.535581621,2.847262721
253.5328205,2.404034188,2.535581621,2.847262721
254.2904838,2.405330108,2.535581621,2.847262721
255.1163925,2.406738365,2.535581621,2.847262721
256.2729974,2.408702849,2.535581621,2.847262721
257.8665732,2.411395049,2.535581621,2.847262721
259.7147165,2.414496559,2.535581621,2.847262721
261.6916472,2.417789861,2.535581621,2.847262721
263.874064,2.421396706,2.535581621,2.847262721
263.0264152,2.419999366,2.535581621,2.847262721
257.5583472,2.410875629,2.535581621,2.847262721
256.172031,2.408531711,2.535581621,2.847262721
257.8423051,2.411354175,2.535581621,2.847262721
258.7280673,2.412843544,2.535581621,2.847262721
258.6213544,2.412664382,2.535581621,2.847262721
258.9189345,2.413163811,2.535581621,2.847262721
260.7307924,2.416192324,2.535581621,2.847262721
262.3817893,2.418933689,2.535581621,2.847262721
263.5116203,2.420799771,2.535581621,2.847262721
265.310804,2.423754936,2.535581621,2.847262721
264.6534189,2.422677509,2.535581621,2.847262721
265.3499175,2.423818957,2.535581621,2.847262721
265.6366584,2.424288008,2.535581621,2.847262721
256.0872957,2.408388034,2.535581621,2.847262721
255.5240209,2.407431733,2.535581621,2.847262721
257.99245,2.411606997,2.535581621,2.847262721
260.4565042,2.415735207,2.535581621,2.847262721
252.1683316,2.401690545,2.535581621,2.847262721
247.1884052,2.393028096,2.535581621,2.847262721
244.2794491,2.387886932,2.535581621,2.847262721
245.7429478,2.390481063,2.535581621,2.847262721
