Approach,Overall_A2k,Mean_A2k,Overall_calib,Wet_calib,Mid_calib,Dry_calib,Overall_valid,Wet_valid,Mid_valid,Dry_valid
"(""split_mean_NmKGE"", ""NmKGE"")",136.22301200012245,21.64766360609364,15.140385882935641,4.509805709613795,28.022793802396606,32.41039130627052,155.8563753296391,6.408977240872416,158.9748269378608,103.67696988277311
"(""split_mean_NmKGE"", ""mean_NmKGE"")",88.63111014930398,19.338747668801993,17.96179413546918,2.996673808740512,35.88328013052863,19.136289067136836,80.21658914458628,6.042793129015076,108.59550341739214,20.673012970920315
"(""split_mean_NmKGE"", ""NnpKGE"")",99.00527066242,18.161231704546772,17.557227587953452,7.691060176838073,29.941582918802656,16.851052017999585,110.68320268329418,4.55908267573591,111.78059902084493,75.81956029666455
"(""split_mean_NmKGE"", ""split_NNSE"")",151.26362044940853,13.659415090373292,7.990926869522283,1.674822067623719,16.72385266024136,22.579570543254796,193.46701971683538,3.6380028629530177,183.7314222168134,117.68082744123987
"(""split_mean_NmKGE"", ""split_NmKGE"")",266.3771511987966,102.29914681389373,134.21205823313608,43.212131798226984,181.8102562302606,81.87505241319359,194.99321438656466,32.654843386353896,213.1426990673125,65.82302770910073
"(""split_mean_NmKGE"", ""split_NnpKGE"")",43.66585559556146,22.959489988397426,4.588082471752726,15.763801159681929,3.879580721808766,49.235088083701584,70.69092035458502,5.230969852433695,50.97253518921252,101.01855040872194
"(""split_NnpKGE"", ""NNSE"")",145.26175392856547,63.88878128173087,104.69789914020564,9.552142553843568,161.48415605693762,20.630045234411412,53.603478053745356,5.136652893979421,113.72287341989635,46.67759783770615
"(""split_NnpKGE"", ""NmKGE"")",104.5882606362562,22.31105190941446,14.539794037597296,5.184501552650438,27.057789193173413,34.69086498241952,101.62749259828621,6.857719355129351,100.94218068021262,31.50148810808329
"(""split_NnpKGE"", ""mean_NmKGE"")",19.543548157245773,24.548123026157143,3.331771438562442,16.286372493593493,2.1538835055724093,55.20411307930553,21.492235826945592,7.618747748076897,28.302735544917056,55.36184317129503
"(""split_NnpKGE"", ""NnpKGE"")",39.74350964037342,20.15530227196926,7.540415218322763,17.943137862577185,7.129890713397684,35.392878239932905,48.766223992200565,7.028403335401073,35.227114662913486,93.75128445506408
"(""split_NnpKGE"", ""split_NNSE"")",32.994424747031424,30.98759210268956,10.291894774603492,13.79847885312018,11.110691079267232,68.05360637568127,59.18034310630216,7.471246235809168,47.60657809384718,87.74937090615076
"(""split_NnpKGE"", ""split_NmKGE"")",95.69987512941181,47.83665825845869,31.358706604235312,22.378600010982208,41.539847523525125,79.59152724086873,95.9177164616803,17.18660717696546,96.57362147800133,139.5099513384495
"(""split_NnpKGE"", ""split_mean_NmKGE"")",58.82071380059514,22.655361284020405,4.4405302868767205,15.321705704092372,3.85595728526766,48.78842086270118,89.02379922938113,5.483197637407361,74.67133028506092,87.24280219236357
