Approach,Overall_NmKGE,Overall_calib,Wet_calib,Mid_calib,Dry_calib,Overall_valid,Wet_valid,Mid_valid,Dry_valid
"(""split_mean_NmKGE"", ""NmKGE"")",0.8647575509096995,0.8682589774660407,0.7965359710664021,0.8523570783701236,0.4630441395320667,0.8480635312045345,0.7167296660045166,0.817028306719549,0.4201414042076419
"(""split_mean_NmKGE"", ""mean_NmKGE"")",0.8440278610083478,0.8635403388291399,0.8198730589126684,0.8230496118085429,0.46742263691949415,0.8108059804731064,0.7389978733623782,0.7824595399737945,0.4539137701111185
"(""split_mean_NmKGE"", ""NnpKGE"")",0.8440278521905342,0.8635403441027866,0.8198730962171233,0.8230495435650486,0.4674223617680864,0.8108059816810135,0.7389978386639613,0.7824595308509933,0.4539138191880042
"(""split_mean_NmKGE"", ""split_NNSE"")",0.8417449230460924,0.860535890570029,0.8167903295514979,0.82083514741636,0.47360798910317475,0.8077711758822337,0.7334948423096092,0.780849614501929,0.45203786223321246
"(""split_mean_NmKGE"", ""split_NmKGE"")",0.8456681508723877,0.8628181290135352,0.8063193101107645,0.8409068595306689,0.481525475332136,0.8185675557486526,0.7228844103238112,0.7948795164184019,0.4269622222721385
"(""split_mean_NmKGE"", ""split_NnpKGE"")",0.8409858049864375,0.8572437355454443,0.8144770310588239,0.8214713205835086,0.5075055896673769,0.8094515476496127,0.7386851480242864,0.7858527769081458,0.46194708567869575
"(""split_NnpKGE"", ""NNSE"")",0.8274700364396408,0.8310426385309105,0.7831993820363916,0.8025662430609568,0.5195042346587686,0.7980477786664609,0.704573016709839,0.7796655238702701,0.433765451743034
"(""split_NnpKGE"", ""NmKGE"")",0.8631898961185537,0.861750931088493,0.7914687639425102,0.8501881844043122,0.4859027619761213,0.8499537161898619,0.7158894453737992,0.8233344086240122,0.4343564724944093
"(""split_NnpKGE"", ""mean_NmKGE"")",0.8224009733320747,0.8170140069853683,0.7862731058513579,0.7848614944235789,0.7030598683996392,0.7939450728267253,0.744643989942604,0.7645349315878954,0.4584688920098957
"(""split_NnpKGE"", ""NnpKGE"")",0.8277910311534091,0.833612347711853,0.7973538330821232,0.7962489236860497,0.6103814918144171,0.8058512178500817,0.7321158420422107,0.7876872702102482,0.4734152180079933
"(""split_NnpKGE"", ""split_NNSE"")",0.8022161029663957,0.8070177401256509,0.74231769155985,0.7884555447360646,0.4606529265871946,0.7741730956349331,0.6760389875377654,0.7614060632822018,0.42257926474732105
"(""split_NnpKGE"", ""split_NmKGE"")",0.8456554602485756,0.8627811903665271,0.806095006861296,0.8410775589582451,0.47960321135330375,0.8186432353307489,0.722716655503779,0.7949983042711811,0.42607813814673084
"(""split_NnpKGE"", ""split_mean_NmKGE"")",0.8429055869836773,0.8608520142427378,0.8177104572689268,0.8226975955463228,0.4854967957160284,0.810268041807809,0.7388153427935016,0.784296993682009,0.45759989966777226
